N Area RelativeError
100 1.74998 0.852782
600 0.972214 0.0293234
1100 1.09595 0.160328
1600 1.02082 0.0807895
2100 0.976843 0.0342249
2600 0.845078 0.10528
3100 0.931443 0.0138418
3600 0.899298 0.0478759
4100 0.936645 0.00833482
4600 0.957419 0.0136597
5100 0.966495 0.0232685
5600 0.895825 0.0515521
6100 0.984964 0.0428227
6600 0.998729 0.0573958
7100 1.02699 0.0873134
7600 0.92872 0.0167253
8100 0.953009 0.00899104
8600 0.947343 0.00299182
9100 0.936957 0.00800376
9600 0.938794 0.00605964
10100 0.987615 0.0456295
10600 0.964876 0.0215549
11100 0.931048 0.0142606
11600 0.964671 0.0213372
12100 0.937664 0.00725591
12600 0.940578 0.0041705
13100 0.963308 0.0198944
13600 0.952197 0.0081314
14100 0.911536 0.0349181
14600 0.921605 0.0242579
15100 0.941309 0.00339686
15600 0.960373 0.0167867
16100 0.964967 0.0216514
16600 0.963429 0.0200222
17100 0.969939 0.0269156
17600 0.970004 0.026984
18100 0.950728 0.00657587
18600 0.919421 0.02657
19100 0.9997 0.0584246
19600 0.954853 0.0109426
20100 0.907399 0.0392982
20600 0.965606 0.022328
21100 0.98788 0.0459096
21600 0.949709 0.00549642
22100 0.906666 0.0400745
22600 0.923603 0.0221428
23100 0.917079 0.0290495
23600 0.950792 0.00664335
24100 0.938731 0.00612637
24600 0.964309 0.0209549
25100 0.958657 0.0149702
25600 0.935756 0.00927627
26100 0.945766 0.0013226
26600 0.934568 0.0105339
27100 0.966474 0.0232462
27600 0.917262 0.0288558
28100 0.943151 0.00144646
28600 0.93856 0.00630707
29100 0.940141 0.00463371
29600 0.93477 0.0103195
30100 0.939914 0.00487344
30600 0.952833 0.00880416
31100 0.960334 0.0167464
31600 0.929449 0.0159538
32100 0.948893 0.00463242
32600 0.936427 0.00856585
33100 0.931093 0.014213
33600 0.912897 0.0334776
34100 0.970503 0.0275122
34600 0.943553 0.00102086
35100 0.95421 0.0102618
35600 0.937531 0.00739689
36100 0.930201 0.0151571
36600 0.940869 0.00386248
37100 0.947581 0.00324346
37600 0.916104 0.0300817
38100 0.944144 0.000394645
38600 0.935693 0.00934294
39100 0.955057 0.0111588
39600 0.939561 0.00524736
40100 0.954515 0.010585
40600 0.934379 0.0107341
41100 0.916861 0.0292805
41600 0.982964 0.0407053
42100 0.963438 0.0200325
42600 0.935014 0.0100616
43100 0.94131 0.00339528
43600 0.934083 0.0110469
44100 0.942893 0.00171973
44600 0.923603 0.0221428
45100 0.924357 0.021344
45600 0.936822 0.00814763
46100 0.932988 0.0122068
46600 0.947595 0.00325894
47100 0.933408 0.0117622
47600 0.921152 0.0247377
48100 0.940682 0.00406011
48600 0.942807 0.0018105
49100 0.932414 0.0128139
49600 0.912038 0.0343868
50100 0.981722 0.0393906
50600 0.953961 0.00999811
51100 0.926552 0.0190206
51600 0.950923 0.00678197
52100 0.916232 0.0299467
52600 0.931736 0.0135325
53100 0.938708 0.0061505
53600 0.93104 0.0142693
54100 0.955501 0.0116289
54600 0.958503 0.0148073
55100 0.95898 0.0153126
55600 0.951755 0.00766313
56100 0.933048 0.0121432
56600 0.948853 0.00459049
57100 0.927093 0.0184473
57600 0.936262 0.00874017
58100 0.932723 0.0124874
58600 0.948655 0.0043807
59100 0.951157 0.00703005
59600 0.953454 0.00946225
60100 0.946169 0.00174913
60600 0.939967 0.00481757
61100 0.927342 0.0181839
61600 0.943173 0.00142267
62100 0.933857 0.011286
62600 0.922205 0.0236227
63100 0.928302 0.0171675
63600 0.926507 0.0190678
64100 0.945823 0.00138228
64600 0.957164 0.0133896
65100 0.932638 0.0125769
65600 0.943759 0.000803185
66100 0.93912 0.00571413
66600 0.942434 0.00220547
67100 0.93715 0.00779979
67600 0.960133 0.0165329
68100 0.917107 0.0290201
68600 0.946845 0.00246491
69100 0.949702 0.00548953
69600 0.954893 0.0109848
70100 0.92395 0.0217757
70600 0.954587 0.0106614
71100 0.930645 0.0146871
71600 0.957277 0.0135097
72100 0.937694 0.00722405
72600 0.950921 0.00678032
73100 0.951466 0.00735694
73600 0.957815 0.0140793
74100 0.962373 0.0189051
74600 0.940806 0.00392959
75100 0.959268 0.0156173
75600 0.946236 0.00182027
76100 0.940658 0.0040857
76600 0.935914 0.0091083
77100 0.955695 0.0118342
77600 0.92899 0.0164391
78100 0.936113 0.00889736
78600 0.948341 0.00404862
79100 0.931285 0.0140097
79600 0.942412 0.00222877
80100 0.942477 0.00216032
80600 0.951467 0.00735764
81100 0.942124 0.00253363
81600 0.945168 0.000688989
82100 0.926149 0.0194473
82600 0.936668 0.0083105
83100 0.940157 0.00461583
83600 0.934651 0.010446
84100 0.940076 0.00470184
84600 0.947736 0.00340776
85100 0.94411 0.000431471
85600 0.957562 0.0138114
86100 0.937322 0.00761752
86600 0.941004 0.00371959
87100 0.945313 0.000842648
87600 0.945467 0.00100521
88100 0.951467 0.00735822
88600 0.938965 0.00587811
89100 0.941552 0.00313903
89600 0.92675 0.0188113
90100 0.952251 0.00818852
90600 0.945279 0.000806778
91100 0.949162 0.00491788
91600 0.946104 0.00167995
92100 0.964719 0.0213883
92600 0.944391 0.000133526
93100 0.939632 0.0051717
93600 0.942507 0.0021282
94100 0.934296 0.0108214
94600 0.932852 0.0123501
95100 0.94686 0.00248085
95600 0.939162 0.00566934
96100 0.948541 0.0042597
96600 0.934372 0.0107414
97100 0.943277 0.00131253
97600 0.941832 0.002843
98100 0.929301 0.0161096
98600 0.943323 0.00126405
99100 0.952495 0.00844606
99600 0.942442 0.00219709
