N Area RelativeError
100 0.925 0.0206637
600 0.95625 0.012422
1100 0.9125 0.0338979
1600 0.935938 0.00908367
2100 0.941071 0.00364817
2600 0.936538 0.00844741
3100 0.940323 0.004441
3600 0.926736 0.0188256
4100 0.93811 0.00678381
4600 0.947826 0.00350327
5100 0.952451 0.00839984
5600 0.935491 0.00955633
6100 0.945902 0.00146578
6600 0.95625 0.012422
7100 0.93662 0.00836138
7600 0.950329 0.00615316
8100 0.939969 0.00481521
8600 0.940988 0.0037361
9100 0.943269 0.00132126
9600 0.946354 0.00194489
10100 0.949629 0.00541179
10600 0.949646 0.00543033
11100 0.952252 0.00818944
11600 0.940517 0.00423491
12100 0.940186 0.00458566
12600 0.942262 0.00238776
13100 0.950382 0.00620899
13600 0.946415 0.00200976
14100 0.95266 0.00862069
14600 0.944521 3.55954e-06
15100 0.946523 0.00212383
15600 0.93766 0.00725972
16100 0.943944 0.000606751
16600 0.937801 0.00711049
17100 0.949927 0.00572749
17600 0.935298 0.00976043
18100 0.947514 0.00317265
18600 0.942272 0.0023776
19100 0.936715 0.00826086
19600 0.941773 0.00290543
20100 0.947139 0.00277615
20600 0.950667 0.00651157
21100 0.945142 0.000661708
21600 0.945949 0.001516
22100 0.941572 0.00311777
22600 0.944967 0.00047604
23100 0.948106 0.00379969
23600 0.945975 0.001543
24100 0.942998 0.0016085
24600 0.947459 0.00311499
25100 0.943974 0.000574984
25600 0.946191 0.00177257
26100 0.940852 0.00387997
26600 0.942998 0.0016083
27100 0.944972 0.000481875
27600 0.946286 0.00187296
28100 0.939324 0.00549841
28600 0.94576 0.00131634
29100 0.948196 0.00389478
29600 0.942103 0.00255596
30100 0.942982 0.00162565
30600 0.94759 0.00325318
31100 0.938746 0.00611022
31600 0.945095 0.000611689
32100 0.952843 0.00881455
32600 0.942983 0.00162417
33100 0.944184 0.000352451
33600 0.943936 0.000615313
34100 0.944831 0.000332649
34600 0.940896 0.00383395
35100 0.946118 0.0016951
35600 0.944522 5.59652e-06
36100 0.946468 0.00206556
36600 0.946277 0.00186353
37100 0.940027 0.004754
37600 0.941855 0.00281851
38100 0.939764 0.00503263
38600 0.943977 0.000572252
39100 0.947922 0.00360481
39600 0.944665 0.000156925
40100 0.943828 0.000729744
40600 0.947137 0.00277339
41100 0.943765 0.000796152
41600 0.945252 0.000778406
42100 0.943498 0.00107945
42600 0.945716 0.0012692
43100 0.947941 0.00362476
43600 0.943865 0.000690837
44100 0.937982 0.00691922
44600 0.941396 0.00330481
45100 0.94648 0.00207816
45600 0.944655 0.000145492
46100 0.941377 0.00332418
46600 0.943374 0.00120985
47100 0.938535 0.00633356
47600 0.944932 0.000438888
48100 0.947843 0.00352122
48600 0.9482 0.00389871
49100 0.945519 0.00106103
49600 0.944834 0.000335074
50100 0.942889 0.00172359
50600 0.950198 0.00601412
51100 0.941267 0.00344098
51600 0.946148 0.00172688
52100 0.94273 0.00189182
52600 0.945722 0.00127605
53100 0.942679 0.00194626
53600 0.94333 0.00125669
54100 0.948036 0.00372556
54600 0.947527 0.00318712
55100 0.943897 0.000656131
55600 0.940445 0.00431124
56100 0.9418 0.00287642
56600 0.946864 0.00248463
57100 0.944483 3.58102e-05
57600 0.940061 0.0047182
58100 0.944729 0.000224167
58600 0.945115 0.00063313
59100 0.944543 2.74863e-05
59600 0.94526 0.00078652
60100 0.944655 0.000145637
60600 0.943049 0.00155477
61100 0.944374 0.000151621
61600 0.94517 0.000691643
62100 0.944022 0.00052455
62600 0.945447 0.000984734
63100 0.945246 0.000771247
63600 0.945342 0.000873245
64100 0.943916 0.000636758
64600 0.944679 0.0001711
65100 0.945526 0.00106819
65600 0.942683 0.00194201
66100 0.943343 0.00124272
66600 0.942192 0.00246157
67100 0.944095 0.000447373
67600 0.94399 0.000557747
68100 0.943741 0.000821969
68600 0.945208 0.000731104
69100 0.945459 0.000997645
69600 0.944738 0.00023356
70100 0.94531 0.000839673
70600 0.945096 0.000612401
71100 0.946044 0.00161682
71600 0.946753 0.00236693
72100 0.943707 0.000858141
72600 0.942614 0.00201537
73100 0.944408 0.000115235
73600 0.941287 0.00341955
74100 0.943758 0.000803322
74600 0.944052 0.000492926
75100 0.944857 0.000359625
75600 0.946892 0.00251382
76100 0.945729 0.00128332
76600 0.94282 0.00179705
77100 0.945201 0.000724023
77600 0.945006 0.000517997
78100 0.940173 0.00459953
78600 0.942335 0.00231079
79100 0.94646 0.00205713
79600 0.944472 4.74571e-05
80100 0.94549 0.00102997
80600 0.945332 0.000862557
81100 0.946763 0.00237801
81600 0.941054 0.0036667
82100 0.942281 0.0023678
82600 0.947473 0.00312919
83100 0.943637 0.000931695
83600 0.944812 0.000311712
84100 0.942227 0.00242523
84600 0.944843 0.000345356
85100 0.947753 0.00342552
85600 0.94413 0.000410276
86100 0.941188 0.0035252
86600 0.942566 0.00206538
87100 0.944475 4.49375e-05
87600 0.94415 0.000389239
88100 0.943686 0.00087985
88600 0.944935 0.000442465
89100 0.943406 0.00117616
89600 0.946164 0.00174303
90100 0.946878 0.00249999
90600 0.942398 0.00224377
91100 0.942906 0.00170567
91600 0.948294 0.0039989
92100 0.943132 0.00146606
92600 0.947516 0.00317518
93100 0.943126 0.00147325
93600 0.944965 0.000474414
94100 0.940263 0.00450407
94600 0.944926 0.000432833
95100 0.946964 0.00259025
95600 0.941331 0.00337328
96100 0.946436 0.00203153
96600 0.945924 0.00148936
97100 0.943344 0.00124158
97600 0.94562 0.00116747
98100 0.943374 0.00121022
98600 0.939947 0.00483891
99100 0.943252 0.00133975
99600 0.944378 0.000147881
